,id,sentence,price,quality,environment,service,other
2256,1314,not served until called upon  10 15mins after arrival ,,,,Negative,
2257,1314,do not expect a great experience ,,,,,
2258,1315,paneer is ok  but soup is not at all good    packing is worst,,Negative,,Negative,
2259,1316,we ordered a double margherita pizza and white sauce pasta ,,,,,
2260,1316,the texture of white sauce was off and it was very clumpy  the pasta was still very hot  ,,Negative,,,
2261,1316,the pizza was fine taste wise but it can t be called a margherita pizza  had few strands of shredded basil that was dry  ,,Neutral,,,
2262,1316,all the sachets of oregano seasoning expired 3 months ago  in june and when we opened the sachets there were a lot of clumps ,,Negative,,,
2263,1316,it s okay not to give any seasoning if you don t have it but sending expired stuff is completely unacceptable ,,,,Negative,
2264,1316,the delivery and packing was good ,,,,Positive,
2265,1316,wish they had paid same attention to the food ,,,,,
2266,1317,good for drinks  not for buffet  ,,Neutral,,,
2267,1317,taste was not good ,,Negative,,,
2268,1317,no food was good neither veg nor non veg ,,Negative,,,
2269,1317,ambiens is nice ,,,Positive,,
2270,1317,only welcome drink was good  ,,Positive,,,
2271,1317,not recommendable,,,,,Negative
2272,1318,what you people are doing two times i get wrong items from you why you people are sending wrong items today i given order 1 mushroom masala 2 paneer butter masala but you people are send biriyani and sum curry,,,,Negative,
2273,1319,got navratri thali as a review meal and was highly disappointed in them ,,Negative,,,
2274,1319,first of all  the meal reached 3 hours late than the promised time ,,,,Negative,
2275,1319,the items were literally swimming in oil ,,Negative,,,
2276,1319,the food was too oily and taste mediocre ,,Negative,,,
2277,1319,this thali needs a lot of improvement,,Negative,,,
2278,1320,quantity of the food is very less for a single person ,,Negative,,,
2279,1321,this is one of the poor italian restaurants in hyderabad ,,Negative,,,
2280,1321,the first giveaway was the menu cards ,,,,,
2281,1321,they were all torn and faded ,,,,Negative,
2282,1321,few of them even had the spiral binding missing in places ,,,,Negative,
2283,1321,the chairs and table cloth evinced that the restaurant was not very well maintained ,,,Negative,,
2284,1321,coming to the food  i can say that it was very disappointing ,,Negative,,,
2285,1321,we had ordered    chicken wings  tangy arrabita pasta  farmer s ortalano  tiramisu    the chicken wings were marketed as a spicy dish but the spice was no where to be felt ,,Negative,,,
2286,1321,also  the wings were glazed in two different sauces though they both tasted the same   sweet and heavy ,,Negative,,,
2287,1321,  the red sauce of the pasta was diluted  it was done to such an extent that the sauce was not willing stay with the penne pasta ,,Negative,,,
2288,1321,  the pizza was the first relief  though it wasn t as it as some of the other restaurants ,,Neutral,,,
2289,1321,it was thin and it retained its shape ,,Neutral,,,
2290,1321,  the tiramisu was a disaster ,,Negative,,,
2291,1321,the cream was spoilt and the whole desert tasted sour ,,Negative,,,
2292,1321,we had to send it back ,,Negative,,,
2293,1321,finally  the service ,,,,,
2294,1321,the service was one of the very few worthwhile experience ,,,,Positive,
2295,1321,all in all  i will not visit this restaurant again and a do not recommend it to anyone ,,,,,Negative
2296,1322,very poor packing ,,,,Negative,
2297,1323,waste,,,,,Negative
2298,1324,went on a weekend afternoon with some friends and the place was completely empty ,,,,,
2299,1324,the service was good but the food was not ,,Negative,,Positive,
2300,1324,the pasta was completely bland and the pizza too stretchy ,,Negative,,,
2301,1324,when we told them to add some spices they just reheated the same and brought it back ,,,,Negative,
2302,1324,the ambience was okay  but not worth going just for that ,,,Neutral,,
2303,1324,not a good experience at all ,,,,,Negative
2304,1325,currys quality not good ,,Negative,,,
2305,1325,all currys are taste sweet ,,Neutral,,,
2306,1325,quantity also less ,,Negative,,,
2307,1326,chilli chicken  it was not as expected ,,Negative,,,
2308,1326,fully coated and not spicy   its just feedback   but not sharing any reviews  my friend suggested about this  i expected that it was not coated and spicy   but was quite opposite,,Neutral,,,
2309,1327,pathetic service ,,,,Negative,
2310,1327,took an hour for the order to deliver even though there were only 2 tables occupied ,,,,Negative,
2311,1327,no one has an answer for the delay ,,,,Negative,
2312,1327,the entire eating experience is ruined ,,,,,Negative
2313,1327,not visiting the place again,,,,,Negative
2314,1328,cold pizza served,,Negative,,,
2315,1329,ordered chocolate croissant for dessert but ut was horrible ,,Negative,,,
2316,1329,a cold soggy croissant was delivered which was too low in quality for 200 bucks    over priced and over hyped restaurant  ,Negative,Negative,,,
2317,1330,i ve ordered chicken pizza squares  6pc  ,,,,,
2318,1330,i waited for almost 20 mins ,,,,Negative,
2319,1330,they served 6pc of sandwich bread topped with some chicken ,,,,,
2320,1330,i thought that they ve served it by mistake ,,,,,
2321,1330,i asked the staff and they confirmed that the served thing is called  pizza  ,,,,,
2322,1330,i wish the name in the menu is changed to something else   or mentioning the recipe beside name could help in choosing the right food ,,,,Negative,
2323,1331,i had huge expectations on food based on the review but taste was not up to the mark ,,Negative,,,
2324,1331,and staff is not customer friendly ,,,,Negative,
2325,1331,not recommended to anyone,,,,,Negative
2326,1332,bad packaging ,,,,Negative,
2327,1332,all the almond feasts had barely more than one almond each ,,Negative,,,
2328,1333,i had heard a lot about their chain of bakeries and had tried there muffins before  all were good ,,Positive,,,
2329,1333,so thought of trying their other bakes ,,,,,
2330,1333,so i ordered a grilled chicken sandwich through swiggy and upon receiving the order i found it was grilled chocolate sandwich  even bill was wrong ,,,,Negative,
2331,1333,raised a complaint and got a replacement ,,,,Positive,
2332,1333,this time i checked the bill which was correct but even then the item was wrong ,,,,Negative,
2333,1333,they sent veg instead ,,,,,
2334,1333,the sandwiches were not bad 1 star extra for that  but i don t know how they can mess up like this ,,Neutral,,Negative,
2335,1334,the service and quantity sucks ,,Negative,,Negative,
2336,1334,the service and quantity sucks ,,Negative,,Negative,
2337,1334,the service and quantity sucks ,,Negative,,Negative,
2338,1334,the service and quantity sucks ,,Negative,,Negative,
2339,1334,the service and quantity sucks ,,Negative,,Negative,
2340,1335,we went on a weekend to this place as we had been wanting to try out this new place in town for a while ,,,,,
2341,1335,starting of with the pros  the decor and ambiance of this place is really good ,,,Positive,,
2342,1335,the menu is quite interesting too  and includes a variety of chicken  pork  beef and some fish dishes ,,Positive,,,
2343,1335,there are a few vegetarian options  but i do not know to what extent it would satisfy a vegetarian ,,Neutral,,,
2344,1335,they have a good choice of mocktails as well  and each one was really good ,,Positive,,,
2345,1335,the pork ribs and the mushrooms were good too ,,Positive,,,
2346,1335,the staff there was good too ,,,,Positive,
2347,1335,moving on to why i chose to give this a bad review  first of all  the service was really slow ,,,,Negative,
2348,1335,took about an hour for my food to arrive ,,,,Negative,
2349,1335,moreover  my chicken noodles tasted exactly like maggie with a few chicken pieces thrown in ,,Negative,,,
2350,1335,i had attached a picture of it for reference ,,,,,
2351,1335,moreover the portion sizes are quite small in relation to the price of the dishes ,Negative,Negative,,,
2352,1335,a small bowl of beef curry was 200 and one plate of steamed rice was not even enough for two people ,,Negative,,,
2353,1335,even though the taste was good  because of the portion sizes and the relative prices plus the service time our experience was ruined ,Negative,Negative,,Negative,
2354,1335,hence the two stars ,,,,,
2355,1336,ordered a burger from this place and it is so disgusting to see a burger wrapped recklessly in an aluminium sheet deliver at my place ,,,,Negative,
2356,1336,how can you wrap a burger in a sheet   ,,,,Negative,
2357,1336,by the time i opened the pack  the burger got compressed  cheese leaked all over the sheet ,,,,Negative,
2358,1336,the taste of the burger wasn t good too ,,Negative,,,
2359,1336,the bun didn t seem fresh at all ,,Negative,,,
2360,1336,i still don t understand how this place has a 4 4 rating ,,,,,Negative
2361,1336, ,,,,,
2362,1337,we took buffet and got only 3 non veg starters   fish prawns and chicken   each 1 type ,,Negative,,,
2363,1337,food is average  as usual  nothing special ,,Neutral,,,
2364,1337,rs 783    699   5  gst   7  service charge  for this buffet is very too high ,Negative,,,,
2365,1337,not worth ,,,,,Negative
2366,1337,go for some barbeque restaurants for the same price and more options ,,,,,
2367,1338,ordered chilly paneer with fried rice ,,,,,
2368,1338,paneer quality was bad ,,Negative,,,
2369,1338,too hard ,,Negative,,,
2370,1338,i will say no to this menu ,,Negative,,,
2371,1338,waste of money                         ,,,,,Negative
2372,1339,food was not good and tasty enough while we got food all the pieces were meshed up ,,Negative,,,
2373,1339,so please give the food tasty ,,Negative,,,
2374,1339,being not able to give good food please try to refund the money,,Negative,,,
2375,1340,it s been a very long desire to taste the pan asian food at zega  very beautiful place with a spectacular view from the outlet  well balanced ambience with nice live kitchen and interactive bar  coming to the service its seems very low manned for every order we have to stand up and request someone to attend for our request  taste of the food was just ok  need to relook into the clasic dishes  over all it was a very average dining experience at zega ,,Neutral,Negative,Negative,
2376,1341,prices are 5 star hotel s but food and hospitality is just as normal restaurant ambience is good i suggest them to increase the hospitality,Negative,Neutral,Positive,Negative,
2377,1342,food was cold and seems like prepared few hours ago,,Negative,,,
2378,1343,the food was very spicy ,,Neutral,,,
2379,1344,not as good as it used to be used to like pasta a lot but turned out to be a big downer this time with degraded quality ,,Negative,,,
2380,1344,they definitely lost a repeat customer ,,,,,
2381,1345,my food had extra money for cheese and other thing but has not been delivered this is not good,,Negative,,,
2382,1346,ambience is good but the food needs improvement in all the aspects ,,Negative,Positive,,
2383,1346,service was a bit slow too ,,,,Negative,
2384,1346,this place is just overhyped and the food quality has to be improved ,,Negative,,,
2385,1346,it is pricey and is definitely not value for money ,Negative,,,,
2386,1347,one of my chauffeur in hyderabad recommended this place for authentic persian food ,,,,,
2387,1347,and i was disappointed ,,,,,Negative
2388,1347,this place didn t live upto the fame and name ,,,,,
2389,1347,the meat wasnt well cooked ,,Negative,,,
2390,1347,the taste was bland ,,Negative,,,
2391,1347,the service was fast  however the quality of service was a disappointment ,,,,Negative,
2392,1347,a cold finger bowl at the end made it worst ,,Negative,,,
2393,1347,ambiance 0 5  service 2 5 5  staff 3 5 5  food 1 5  value for money 1 5 5 ,Negative,Negative,Negative,Negative,
2394,1348,did the cook change ,,,,,
2395,1349,food is not good   we all came here for team lunch in starter we only got 4 item but the taste of the starter is not good ,,Negative,,,
2396,1349,so this place is not good for veg and non veg lover lovers ,,Negative,,,
2397,1349,in sweets we have two ice cream flavours and rasgulla and kaddu ka kheer etc who will eat kaddu ka kheer,,,,,
2398,1350,in general my experience with the chocolate room was not up to the mark ,,Negative,,,
2399,1350,i had oreo cookie shake and kitkat shake at two separate visits ,,,,,
2400,1350,both tasted bland and i couldnt quite get the crispyness of oreo and flavour of the kitkat ,,Negative,,,
2401,1350,i hope they improve   ,,,,,
2402,1351,i would not recommend this place ,,,,,Negative
2403,1351,i tried their steamed momos and kurkure ones too which were not upto the mark ,,Negative,,,
2404,1351,they dont serve that spicy red chutney that was a bigger shock for me ,,Negative,,,
2405,1352,couldn t resist posting this review ,,,,,
2406,1352,has been visiting this place since the time it opened   has been there multiple times ,,,,,
2407,1352,never before felt this urge of posting a review since the food always stood out and dominated the service ,,,,,
2408,1352,but nothing changed over the time in terms of service  rather it s turned worse over time ,,Negative,,,
2409,1352,there can t be an excuse of quality of food in exchange of service ,,Negative,,Positive,
2410,1352,if food is the only yardstick  they fail to beat that as well ,,Negative,,,
2411,1352,dishes are pretty authentic but equally monotonous in taste ,,Negative,Positive,,
2412,1352,as a customer  i would rather not visit to wait for two ordered dishes for an hour ,,,,Negative,
2413,1352,worse food that can be had sooner is always better than slightly better food with infinitely worse service ,,Negative,,,
2414,1353,food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude ,,Positive,,Negative,
2415,1353,over all rating 2 ,,,,,
2416,1354,after looking at all these good rdviews i thought the food would be great  but it was not  dominos pasta is far better than this i orderd salsa pasta cost 415 rs  not upto the mark  then ordered few more veg items nd they were not good   it does not justify the prices at all  i ate better pastas at my office restaurents at half the price  not happy with food quality ,Negative,Negative,,,
2417,1354,though ambience nd service was good   may b in veg they dont hve better quality food  ,,Negative,Positive,Positive,
2418,1355,fries were very bad  i had to throw all of fries ,,Negative,,,
2419,1356,food is not good as previous  ,,Negative,,,
2420,1356,quantity reduced and price increased ,Negative,Negative,,,
2421,1356,price is 20  more than restaurant price ,Negative,,,,
2422,1356,chicken doesn t tasted fresh  ,,Negative,,,
2423,1357,bad,,,,,Negative
2424,1358,good ambience good spread  buffet for dinner yesterday night highly dissapointed about the vegetarian curries which were rottened  2 out of three were rottened ,,Negative,Positive,,
2425,1358,the triple pudding in the deserts with rottened fruits was pathetic ,,Negative,,,
2426,1358,overall vegetarian food for the buffet was ignored by the restaurant ,,Positive,,Negative,
2427,1358,pls do takecare  bananaleaf  don t dissapoint your customers ,,,,Negative,
2428,1359,rated 4 1 on zomato ,,,,,
2429,1359,quite disappointed ,,,,,Negative
2430,1359,friday night perhaps got the service lil delayed ,,,,Negative,
2431,1359,music too loud  too many smokers and the pizza had huge cubes of onions ,,Neutral,Negative,,
2432,1359,  ,,,,,
2433,1360,ordered paneer butter masala and naans the curry had lot of food color and oil which is ok but two naans weren t even equal to one naan in general   they were way too small,,Negative,,,
2434,1361,i have been here and had it s momos ,,,,,
2435,1361,it was not that great ,,,,,Negative
2436,1361,so i had ordered chicken steamed momos on zomato and was disheartened to find that the momos have degraded further in it s taste ,,Negative,,,
2437,1361,the outer covering was dry and not well cooked ,,Negative,,,
2438,1361,it tasted like it was not freshly made ,,Negative,,,
2439,1361,the filling was not satisfying at all ,,Negative,,,
2440,1361,moreover the salt was a bit over the top ,,Neutral,,,
2441,1361,the sauce served was excessively salty and tasted like tomato sauce mixed with chilli paste ,,Negative,,,
2442,1361,not good at all ,,,,,Negative
2443,1361,i had been in their shop quite e few times but this time it was really disappointing ,,,,,Negative
2444,1362,there were mosquitoes in the restaurant ,,,Negative,,
2445,1362,the food was ok but there was a hygiene concern ,,Neutral,Negative,,
2446,1362,the pickled carrot was stale and had fungus ,,Negative,,,
2447,1362,the waiter replaced it but this is not expected of such a high profile restaurant ,,,,Negative,
2448,1363,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,Negative,Negative,Positive,Positive,
2449,1364,late an food is cold an bad ,,Negative,,,
2450,1364,delivery boys shd carry change    ,,,,Negative,
2451,1365,worse quality of food,,Negative,,,
2452,1366,to the management   please be careful while packing ,,,,Negative,
2453,1366,i ordered tandoori roti and got rumali roti instead ,,,,Negative,
2454,1367,worst experience in sense of service ,,,,Negative,
2455,1367,we came to this place group of 9 people ,,,,,
2456,1367,they were taking forever to take the orders ,,,,Negative,
2457,1367,we received piece of hair in one of the starter ,,,,Negative,
2458,1367,we had to seek the people to take our orders ,,,,,
2459,1367,quantity of all the starters was very less ,,Negative,,,
2460,1367,every time we needed to ask them to serve ,,,,Negative,
2461,1367,they were leaving the starters just like that on table ,,,,Negative,
2462,1367,all the dishes were average or can rate them below than that as well ,,Negative,,,
2463,1367,none of them was extraordinary ,,Neutral,,,
2464,1367,waiting for main course was more than 30 mins ,,,,Negative,
2465,1368,offers are not good,,Negative,,,
2466,1369,the rice was not at all tasting like biryani and it is very cold,,Negative,,,
2467,1370,no cutlery  no seal on the box  poor packing ,,,,Negative,
2468,1371,i ordered a chicken rumali shawarma just now from this place and added instructions in my order not to put that slimy  greasy  mayonnaise  some of these places are famous for ,,,,,
2469,1371,lo and behold   opening the food parcel was the item with the awful slimy  sickening mayo i had requested not to be added ,,,,Negative,
2470,1371,and i might add   there was only meat and mayo   no vegetables such as included in shawarma ordered from better places  this was listed as  special shawarma   ,,Negative,,,
2471,1372,went with team for lunch over there   first proper parking is not there    resto is quiet small with very limited options in veg and non veg     ambience  starters  veg non veg main course everything is just avg    everything is just dull and avg   i mean neither food is spicy or tasty    it just avg and dull   ,,Negative,Negative,,
2472,1373,ambience and location is nice ,,,Positive,,
2473,1373,but nice to hangouts only in group and a girl is mandatory to be in group ,,,,,
2474,1373,else entry will be denied ,,,,,
2475,1373,thumbs down for stag ,,,,,
2476,1373,starters are good but main course is really horrible ,,Negative,,,
2477,1373,very small portion of drinks specially when they see you are busy in chatting or talking ,,Negative,,Negative,
2478,1373,the staff is polite but you have to chase them multiple times for taking orders ,,,,Negative,
2479,1373,you can have opt for this only when all other nearby places are full ,,,,,
2480,1373,the complete street is full of restaurants and can be given priority ,,,,,
2481,1373,you might see lot of positive feedbacks but most of them are done just to get a free ice cream ,,,,,
2482,1373,yes  they offer free ice cream if you write good reviews for them ,,,,,
2483,1373,luckily i don t like vanilla flavour so will write what i felt ,,,,,
2484,1374,it said thali but not adequate quantity,,Negative,,,
2485,1375,milkshake is not good and it was not thick,,Negative,,,
2486,1376,deli 9 staff didn t have the basic courtesy to inform that for 4 diners  it would be appropriate to unlock 2 golds ,,,,Negative,
2487,1376,they gave only 1 dish feee whereas we had ordered total of 7 across 4 diners ,,,,Negative,
2488,1377,had very high expectations from this place given the great reviews it has got ,,,,,
2489,1377,however  in my opinion it is just over hyped ,,,,,
2490,1377,not so great ,,,,,Negative
2491,1377,if you have been to any theobroma outlet in mumbai  you will realize how this place is full of shit ,,,,,Negative
2492,1377,the brownies are very average ,,Neutral,,,
2493,1377,tea loaf is worse ,,Negative,,,
2494,1377,one word   underwhelming ,,,,,Negative
2495,1377,plus  rude staff ,,,,Negative,
2496,1378,i don t feel the taste of flavour that had ordered,,Negative,,,
2497,1379,the overall rating present for this restaurant doesn t justice the experience  will come to this in a bit   so  a small almost cute little place tucked in first floor with ambient lightings turned on  to give romantic dinner table feel  and apt audible english chartbusters couldn t go any wrong with setup and restaurant proudly own this ,,,Positive,,
2498,1379,with this as a beginning  shanghai chef takes the dinning experience to whole new diff level which is confusing at its best ,,,,Positive,
2499,1379,waiters are surely not in the mood to offer appropriate tables to guests  not aware of all the food which is getting prepared in kitchen  not aware of all the  must try  dishes of their own menu   most of all courtesy seems to have been left at the mercy of the servers ,,,,Negative,
2500,1379,like an example  since its not a fine dining we can t expect servers to serve your food left in the bowl again but same server at one table doing the same thing neglecting other tables left too much to be desired ,,,,Negative,
2501,1379,this was the case  when a cockroach was found in one of the guests food and staff tried to avoid the scene blaming it to fate ,,Negative,,Negative,
2502,1379,on the food side  crispy corn was good but avoid maonchow soup ,,Neutral,,,
2503,1379,flat noodles also served just warm that too after enquiring multiple times also  service takes the beating even if just half tables are filled ,,Negative,,Negative,
2504,1379,so  coming back to first line ,,,,,
2505,1379,the rating is probably for food only  go at your own risk if your are looking for experience  ,,Positive,,,
2506,1380,it was not crispy by the time it reached me ,,Negative,,,
2507,1380,i also requested a green dipping chutney which was not delivered,,,,Negative,
2508,1381,place looked good when entering but that was it  it went downhill from there ,,,Positive,,
2509,1381,it took three people from their staff one after the other to confirm what we had ordered and it was only one dish ,,,,Negative,
2510,1381,we had to wait for 25 30 minutes for the order only to realise they had served it to somebody else ,,,,Negative,
2511,1381,this was when there were only 5 tables occupied ,,,,,
2512,1381,the staff seemed inexperienced ,,,,Negative,
2513,1381,the toilet s location is just bad ,,,Negative,,
2514,1381,whenever somebody opens the toilet door the whole place stinks up like piss ,,,Negative,,
2515,1381,we just gave up on the place and left paying for the drinks that they had managed to serve ,,,,,
2516,1381,the owners and managers really need to look into the problems ,,,,,
2517,1382,no miyo was given,,Negative,,,
2518,1383,service was too slow ,,,,Negative,
2519,1383,waiters took some 20 minutes to realise we wanted to place an order ,,,,Negative,
2520,1383,music was excessively loud  and reached a point where the speakers couldn t support the playback without distorting the music ,,,Negative,,
2521,1383,however the quality of liit was brilliant ,,Positive,,,
2522,1383,i didn t like food either,,Negative,,,
2523,1384,went here on a thursday  the staff were really pathetic in service and no zomato gold etc were eligible ,,,,Negative,
2524,1384,they could have responded in a proper way when asked why it s not valid ,,,,Negative,
2525,1384, since it s ladies night ,,,,,
2526,1385,the service is very bad ,,,,Negative,
2527,1385,they are not offering the seats when they have whole restaurant empty ,,,,Negative,
2528,1385,the food is good but the manager and staffs are not that encouraging ,,Positive,,Negative,
2529,1386,average,,,,,Neutral
2530,1387,no cultnery with food soup was delivered in pouch  how a person is supposed to drink a soup from a pouch and soup taste was also little odd ,,Negative,,Negative,
2531,1388,was high on expectations after visiting khaan saab in gvk ,,,,,
2532,1388,i was disappointed with taste and quality of the food ,,Negative,,,
2533,1388,the service was mediocre and it seems to no make justice to call itself a branch of khaan saab ,,,,Negative,
2534,1388,even ambience seemed to be a cheap knockoff service was okay ,,,Negative,Neutral,
2535,1389,bad customer service ,,,,Negative,
2536,1389,first we booked table near screen still they didn t give and they make people stand near screen ,,,,Negative,
2537,1389,how the hell should we watch the match ,,,,,Negative
2538,1389,people go to see match and they do this ,,,,,
2539,1390,horrible biryani this is what we got when we ordered on swiggy ,,Negative,,,
2540,1390,it looks like you just want to make money selling biryani and left over pieces,,,,,Negative
2541,1391,i m a frequent customer here ,,,,,
2542,1391,just wanted to share this while i ordered a chicken maggie today  instead of chicken i received marinated fried maida balls majority of it  which looked like chicken ,,Negative,,,
2543,1392,this was my second visit to the place and i am very disappointed for the following reasons   1  the first time i visited they were not serving alcohol due to some license issue  i dicided to give it another shot and came again ,,,,,Negative
2544,1392,2  ordered cheese chilli toast  never order it ,,,,,
2545,1392,it s as hard a a rock ,,Negative,,,
2546,1392,cheese all dried up and all you can taste is toasted white bread  3  ordered moong daal chilla it was just fine raw onion ruined it for me  4  dj was pathetic ,,Negative,Negative,,
2547,1392,it was supposed to be  bollywood hangover  he kept playing some bad music and it was too loud to order food without yelling in waiter s ear let alone having a conversation with your friends ,,,Negative,,
2548,1392,ps  if you are playing hollywood atleast play some thing that people hear  unnecessarily mixing on popular song does not make you a good dj ,,,Negative,,
2549,1392,you need feel the pulse of audience ,,,,,
2550,1393,overrated and hyped ,,,,,Negative
2551,1393,this place is known for its rusty garage like interiors  where you can rent some top notch automobiles ,,,Positive,,
2552,1393,the cafe in  driven cafe  is rather disappointing  staff isn t very friendly  nor very observant to details ,,,,Negative,
2553,1393,they ask for extra money for everything even when the coffee costs similar to expensive coffee chains ,Negative,,,Negative,
2554,1393,i had mocha and coffee crunch  both of which were average at its best and weren t something that i would remember ,,Neutral,,,
2555,1394,i got both same products,,,,,
2556,1395,recently been to this place ,,,,,
2557,1395,good food and economically priced ,Positive,Positive,,,
2558,1395,service was also good ,,,,Positive,
2559,1395,most disappointing part is their crowd management ,,,,Negative,
2560,1395,when they have a board outside only couples after 7 00p m and then u see 60 percent dance floor is full with stags ,,,,,
2561,1395,no bouncers to check what is going on floor ,,,,Negative,
2562,1395,stags misbehaving with girls  trying to feel them  smoking on floor  no one is there to look around ,,,,Negative,
2563,1395,just for their business they r letting everyone in ,,,,Negative,
2564,1395,i will never visit this place with my wife lady friend ,,,,,
2565,1395,as there is no security for them ,,,,Negative,
2566,1395,one should enjoy the party but with some limits ,,,,Negative,
2567,1395,the management should look into this aspect and try to sort it out or else the place will become like its name a rouge place ,,,,Negative,
2568,1395,lot of cheap crowd on saturday night better to avoid ,,,,Negative,
2569,1396,2 stars for the place for rest 3  need good food  service  presentation and experience  lets start with the good part for which the two stars ,,,Positive,,
2570,1396,ambience   location and the place is amazing nothing like other places in hyd ,,,Positive,,
2571,1396,the rain today made it even better ,,,,,
2572,1396,outdoor has this chil lounge vibe with good house music and indoor being this good energy family or dinner vibe ,,,Positive,,
2573,1396,thats it to the place and good part ,,,,,Positive
2574,1396,service was bad  food was ok ,,Neutral,,Negative,
2575,1396,if a restaurant does not serve filter water it is a huge problem ,,,,Negative,
2576,1396,buying water is a choice not force ,,,,Negative,
2577,1396,doesn t matter if you are local udipi or a five star ,,,,,
2578,1396,we were told we dont have filter water something is broken so you buy ,,,,,
2579,1396,while leaving we did see other tables served normal water ,,,,,
2580,1396,we did have zomato gold to use  but the experience was not so great to use it ,,,,,
2581,1396,first turnoff   dont have kingfisher beers ,,Negative,,,
2582,1396,we ordered veg tandoor platter  margherita pizza   tiramisu and cheesecake ,,,,,
2583,1396,pizza was the best part and yet i would say a 3 5 5 ,,Positive,,,
2584,1396,generous amount of sauce and cheese but 3 basil leaf to count ,,Positive,,,
2585,1396,we asked for mustard and denied ,,,,Negative,
2586,1396,the platter had many things but of of which was paneer tikka n no grilled onion or peppers or tomato ,,Neutral,,,
2587,1396,whole platter didnt come with any onion et al side ,,Negative,,,
2588,1396,extra chutney took forever to come ,,,,Negative,
2589,1396,tiramisu was average will not try again or recommend  cheesecake was pretty bad ,,Negative,,,
2590,1396,packed to throw i guess ,,Negative,,,
2591,1396,the blueberry on it    is red color which is super confusing ,,Neutral,,,
2592,1396,the creamcheese itself i would guess will be cheaper kind making it hard ,,Negative,,,
2593,1396,they gave a birthday brownie  which frankly was average too ,,Neutral,,,
2594,1396,however  the server comes and tells me during payment  i have not charged you for brownie ,,,,Negative,
2595,1396,wtf     ,,,,,Negative
2596,1396,overall i will recommend to go to njoy the place and have few drinks ,,,,,Positive
2597,1396,hop to jonathans for food or some place in indiranagar ,,,,,
2598,1397,food quality is good ,,Positive,,,
2599,1397,but not so many items  like crabs  octopus  kofta are available   particularly in this branch which are available at other branches of bn or abs ,,Negative,,,
2600,1397,so  it was really disappointing ,,,,,Negative
2601,1397,also service was a bit slow  we really had to wait for items to come on our table in between ,,,,Negative,
2602,1397,that really turns off our mood though the waiters are jolly n try to make us feel good ,,,,Positive,
2603,1397,i think the number of waiters are less ,,,,,
2604,1397,ac facility was good  very cold ,,,Positive,,
2605,1397,but i don t recommend this place ,,,,,Negative
2606,1398,been here today with teammates and the food for non vegetarian was not up to the mark ,,Negative,,,
2607,1398,all the chicken starters had small pieces of bones ,,Negative,,,
2608,1398,every bite was with a bone ,,Negative,,,
2609,1398,the main course was just ok ,,Neutral,,,
2610,1399,this particular item not properly cooked ,,Negative,,,
2611,1399,taste also not good,,Negative,,,
2612,1400,visited this place for an early lunch  as every other nearby place dint start serving ,,,,,
2613,1400,ambience looked classic with those vintage vibes ,,,Positive,,
2614,1400,ordered penne in alfredo sauce which took 40 mins for them to serve ,,,,Negative,
2615,1400,it tasted average ,,Neutral,,,
2616,1400,it was loaded with way too much of cheese which i don t expect in pastas  i wouldn t mind that if it was a pizza though  ,,Negative,,,
2617,1401,price is too high on deserts,Negative,,,,
2618,1402,not worth the hype created  the service is not worth the cost ,Negative,,,Negative,
2619,1402,many dishes from the menu was not available saying we re not serving indian food ,,Negative,,,
2620,1402,when ordered cold drink they gave 500ml bottle and paper cup  for a restaurant of this level you expect proper glasses for drinks ,,,,Negative,
2621,1402,the taste was okay but the rice quality was not what i get in paradise or other biryani place ,,Negative,,,
2622,1402,my first mandi experience in hyderabad was not good ,,Negative,,,
2623,1403,overrated place ,,,,,Negative
2624,1403,it s a disappointment and below par as per taste ,,Negative,,,
2625,1403,we had panok prawns  you could taste the batter  it s basically the deep fried prawns however the taste is not at al upto the mark ,,Negative,,,
2626,1403,schewan noddles and chicken garlic sauce is below par ,,Negative,,,
2627,1403,nothing great about the place ,,,,,Negative
2628,1404,the ambinence was good but the food was nt that much of good which i expected from them  ,,Negative,Positive,,
2629,1404,the staff was rude and nt proffesional  ,,,,Negative,
2630,1404,worst experience that i ever had in my life,,,,,Negative
2631,1405,below average restaurant food is not that good most people go there for buffet they served cheap welcome drink which infected my throat thats,,Negative,,,
2632,1406,i ordered corn fry magi which came overfried   and the other order double egg and double chicken magi is also not that good     ,,Negative,,,
2633,1406,i never thought i would write such review ,,,,,
2634,1407,size is small,,Negative,,,
2635,1408,naan is not gud    ,,Negative,,,
2636,1409,have been to lunch with friends here today  first things  ambiance seems to be pretty good  i think people just carried on ambiance for this location ,,,Positive,,
2637,1409,serving is damn slow  even though not much of crowd in the restaurant ,,,,Negative,
2638,1409,price is pretty on a higher side  virgin mojito just tasted as mint lemon drink ,Negative,Negative,,,
2639,1409,we need to ask several times to serve  also when we for main course figured out that few dishes were not served to us which were part of starters  when asked  the same was brought later  welcome drink is the one which is served after several remainders and tasted bad ,,Negative,,Negative,
2640,1409,desserts were not so great and not many ,,Negative,,,
2641,1409,felt with the cost that was paid this is not much upto mark ,Negative,Negative,,,
2642,1409,all in all pathetic service  you will literally ask  n  number of times for food which is served on table ,,,,Negative,
2643,1409,not a wide range of dishes ,,Negative,,,
