,sentence,price,quality,environment,service,other
2097,i went to urban asia on a date and we had planned to have sushi ,0,0,0,0,0
2098,sushi was not available at all ,0,0,0,1,0
2099,we were heartbroken ,0,0,0,0,1
2100, sorry sir  became the theme that night ,0,0,0,0,0
2101,date went dull ,0,0,0,0,1
2102,visited this highly rated place yesterday ,0,0,0,0,0
2103,ordered a sandwich  brownie  and paneer puff ,0,0,0,0,0
2104,everything was very average ,0,0,0,0,1
2105,not likely to try again ,0,0,0,0,1
2106,today i ordered panneer and roti  ,0,0,0,0,0
2107,but not satisfy with food test  ,0,1,0,0,0
2108,panneer 65 it s test not good   it is very dray  ,0,1,0,0,0
2109,it s need to improve cooking ,0,1,0,0,0
2110,delivered cold food ,0,0,0,1,0
2111,food is not even warm ,0,0,0,1,0
2112,i ordered veg manchuryia and fried piece chicken biryani  manchuryia wasn t hot and taste was below avg   same with biryani too taste was below avg as name itself biryanis and more people will expect min taste and service was very poor every time i should remember them to bring water bottle   manchuryia  biryani and after that we should call them and ask to serve   it is very bad experience in my recent times  ,0,1,0,1,0
2113,we went on the new year day ,0,0,0,0,0
2114,menu was limited ,0,1,0,0,0
2115,we waited 1 hour almost to get our food on the table ,0,0,0,1,0
2116,service was horrible due to rush ,0,0,0,1,0
2117,food was not that tasty ,0,1,0,0,0
2118,we ordered rajugari natu kodi pulao  which was bland ,0,1,0,0,0
2119,we ordered kothmira kodi kura as curry with roti ,0,0,0,0,0
2120,it was just ok but less spicy ,0,1,0,0,0
2121,we ordered junnu for desert which was the only good thing amongst all the dishes bit the quantity was so less for the price ,1,1,0,0,0
2122,overall it s too much hyped restaurant with ordinary tatsing food at expensive rate ,1,1,0,0,0
2123,my suggestion better look for other options ,0,0,0,0,0
2124,don t go during festive seasons it s crazy crowded ,0,0,0,0,0
2125,ok ok food is not that tastey   i will not recommend this place for eating place is not so clean   the kitchen counter is not good ,0,0,1,0,0
2126,cost is more,1,0,0,0,0
2127,very oily,0,0,1,0,0
2128,only chilly  no taste   chilly paneer was watery n no taste in paneer chatpata,0,1,0,0,0
2129,after hearing from friends  we planned to visit this place on a sunday ,0,0,0,0,0
2130,food   4 5 ordered pasta alfredo  primavera pizza  butter naan bad   paneer makhani ,0,0,0,0,0
2131,all items were good ,0,1,0,0,0
2132,my family loved them ,0,0,0,0,0
2133,ambience   2 5 5   beautiful soothing lights ,0,0,1,0,0
2134,average setup ,0,0,1,0,0
2135,cant consider a very peaceful place  bit of noise with chattering and few confused waiters around ,0,0,1,0,0
2136,waiting area isnt great with a wooden log to sit ,0,0,1,0,0
2137,service   1 5   this is one area that needs improvement  5 of us were offered a table of 4 ,0,0,0,1,0
2138,would have managed  but it was too small  and with kids  situation became worse ,0,0,1,0,0
2139,we were served just once  no one came again to serve or to ask if we needed anything ,0,0,0,1,0
2140,it s supposed to be waiters waiting tables  but we were the ones waiting     will i take my kids ,0,0,0,0,0
2141,  3 5   its less spicy  kid friendly menu  but there isn t much for kids to enjoy ,0,1,0,0,0
2142,and no finger bowls     will i take my parents ,0,0,0,0,0
2143,  3 5   elderly would like the place and menu options ,0,0,0,0,0
2144,decent groups around ,0,0,0,0,0
2145,options in north indian  italian etc are enjoyable for them ,0,0,0,0,0
2146,value for money   3 5 5  washrooms   2 5 ,1,0,0,0,0
2147,location   easy to find  valet parking available ,0,0,1,0,0
2148,used zomato gold here ,0,0,0,0,0
2149,i have visited this restaurant with a group of 10 people ,0,0,0,0,0
2150,i have also ordered from here online ,0,0,0,0,0
2151,the food quality was not upto the mark for both the cases ,0,1,0,0,0
2152,the food served to us was stale ,0,1,0,0,0
2153,the ambience is nice though and the staffs are friendly too ,0,0,1,1,0
2154,i had taken dinner buffet ,0,0,0,0,0
2155,the ambience was good ,0,0,1,0,0
2156,the food taste and dishes were below average ,0,1,0,0,0
2157,everything was self service even the starter ,0,0,0,0,0
2158,for veggie people s  i would recommend not to go this restaurant as they don t have items in paneer and mushroom in veg ,0,1,0,0,0
2159,apart from this  they had dishes like egg burji  egg curry  rajma masala  plain rice not even fried rice   bhendi fry  etc ,0,1,0,0,0
2160,such dishes gave me a feeling that i am dining in a roadside dhaba tapri ,0,0,0,0,0
2161,coconut barfi  ice cream was not at all special and seemed to be of low quality  the pastries tasted as if they are preserved since many days ,0,1,0,0,0
2162,overall i would say the buffet is a waste of money in this restaurant ,0,0,0,0,1
2163,the management is naive and doesnt know how to keep the place happening ,0,0,0,1,0
2164,the happy hours timing goes for a toss as they have limited or better to say nothing at disposal during that time ,0,0,0,0,0
2165,only your frustrated mood can save your day and only focussing on your drinks is the thing you could do here ,0,0,0,0,0
2166,serving not upto the basic standards ,0,0,0,1,0
2167,place smells wierd and costs not at all fair ,1,0,1,0,0
2168,not a preferred place for vegetarians ,0,0,0,1,0
2169,most of the items on the menu not available,0,0,0,1,0
2170,one of the worst services i would have ever come across ,0,0,0,1,0
2171,there were two incidents at the same cafe and the feedback given to them was not even reviewed ,0,0,0,1,0
2172,the first time  i ordered an irani chai and it took them 1hour to serve and it was one first chais ever consumed ,0,0,0,1,0
2173,it was served in a broken glass ,0,0,0,1,0
2174,very disappointed ,0,0,0,0,1
2175,the second time  my female friend wanted to use the washroom but it was extremely dirty and smelling ,0,0,1,0,0
2176,it s sad to see such disappointment from a brand like karachi ,0,0,0,0,1
2177,dint taste good at all    had food in dine o china before and was very impressed with the food   but the ordered food tasted like roadside chinese noodles   ,0,1,0,0,0
2178,i ordered mutton biryani online but was very dissappointed with the qualtiy of the biryani  mutton was full of bones and undigestable ,0,1,0,0,0
2179,also it was very spicy and really wasn t good for a sunday dinner ,0,1,0,0,0
2180,will never order again from there      ,0,0,0,0,1
2181,taste was not good ,0,1,0,0,0
2182,bad ambience  ok food ,0,1,1,0,0
2183,soups were great ,0,1,0,0,0
2184,had some non veg starters which were not very tasty and felt a bit raw ,0,1,0,0,0
2185,naans and curry was nice ,0,1,0,0,0
2186,horrible biryani ,0,1,0,0,0
2187,roaches in sink   x,0,0,0,0,0
2188,slow service ,0,0,0,1,0
2189,food s not upto the mark ,0,1,0,0,0
2190,this restaurant seems in love with sugar  they put it veggies and soup in bulk ,0,1,0,0,0
2191,service staff was not courteous ,0,0,0,1,0
2192,packaging was really bad  sauce was dripping from the packet ,0,0,0,1,0
2193,also ordered sprite can and they delivered in a glass ,0,0,0,1,0
2194,shouldn t like customer this way ,0,0,0,0,0
2195,needs lot of improvement if they want to be in business for long,0,0,0,0,0
2196,ok place for casual hangouts ,0,0,0,0,0
2197,food wasn t so great  it was ok ok ,0,1,0,0,0
2198,there weren t many options for drinks as well ,0,1,0,0,0
2199,service was also not so great i would say ,0,0,0,1,0
2200,i have to wait for so much time,0,0,0,1,0
2201,it s not good earlier it was good  but today food is not good,0,1,0,0,0
2202,chiken is good but biryani is too oily ,0,1,0,0,0
2203,more than actual customers there is huge crowd of delivery guys ,0,0,0,0,0
2204,thali is not available ,0,1,0,0,0
2205,so  we must order kheer seperatly,0,0,0,0,0
2206,went for lunch along with my colleagues and ordered salad  lasagna  chicken pan fried noodles with black bean sauce and tiramisu ,0,0,0,0,0
2207,service was average standard  in terms of food the only thing i like was the chicken pan fried noodles as it had my favourite black bean sauce ,0,1,0,0,0
2208,they put cabbage along with onions in their normal shawarma ,0,0,0,0,0
2209,personally that was a let down for me ,0,1,0,0,0
2210,didn t like it at all ,0,0,0,0,1
2211,food is not good,0,1,0,0,0
2212,not good almost dried no tasty ness,0,1,0,0,0
2213,the dish was extremely oily ,0,1,0,0,0
2214,the tandoori roti was tasting sour  bad sour  ,0,1,0,0,0
2215,seemed it was made from the spoiled dough,0,1,0,0,0
2216,overrated ,0,0,0,0,1
2217,average food ,0,1,0,0,0
2218,limited menu ,0,1,0,0,0
2219,served cocktails with alcohol content as that of mocktails ,0,0,0,1,0
2220,service is also average ,0,0,0,1,0
2221,not served until called upon  10 15mins after arrival ,0,0,0,1,0
2222,do not expect a great experience ,0,0,0,0,0
2223,paneer is ok  but soup is not at all good    packing is worst,0,1,0,1,0
2224,we ordered a double margherita pizza and white sauce pasta ,0,0,0,0,0
2225,the texture of white sauce was off and it was very clumpy  the pasta was still very hot  ,0,1,0,0,0
2226,the pizza was fine taste wise but it can t be called a margherita pizza  had few strands of shredded basil that was dry  ,0,1,0,0,0
2227,all the sachets of oregano seasoning expired 3 months ago  in june and when we opened the sachets there were a lot of clumps ,0,1,0,0,0
2228,it s okay not to give any seasoning if you don t have it but sending expired stuff is completely unacceptable ,0,0,0,1,0
2229,the delivery and packing was good ,0,0,0,1,0
2230,wish they had paid same attention to the food ,0,0,0,0,0
2231,good for drinks  not for buffet  ,0,1,0,0,0
2232,taste was not good ,0,1,0,0,0
2233,no food was good neither veg nor non veg ,0,1,0,0,0
2234,ambiens is nice ,0,0,1,0,0
2235,only welcome drink was good  ,0,1,0,0,0
2236,not recommendable,0,0,0,0,1
2237,what you people are doing two times i get wrong items from you why you people are sending wrong items today i given order 1 mushroom masala 2 paneer butter masala but you people are send biriyani and sum curry,0,0,0,1,0
2238,got navratri thali as a review meal and was highly disappointed in them ,0,1,0,0,0
2239,first of all  the meal reached 3 hours late than the promised time ,0,0,0,1,0
2240,the items were literally swimming in oil ,0,1,0,0,0
2241,the food was too oily and taste mediocre ,0,1,0,0,0
2242,this thali needs a lot of improvement,0,0,0,0,0
2243,quantity of the food is very less for a single person ,0,1,0,0,0
2244,this is one of the poor italian restaurants in hyderabad ,0,1,0,0,0
2245,the first giveaway was the menu cards ,0,0,0,0,0
2246,they were all torn and faded ,0,0,0,1,0
2247,few of them even had the spiral binding missing in places ,0,0,0,1,0
2248,the chairs and table cloth evinced that the restaurant was not very well maintained ,0,0,1,0,0
2249,coming to the food  i can say that it was very disappointing ,0,1,0,0,0
2250,we had ordered    chicken wings  tangy arrabita pasta  farmer s ortalano  tiramisu    the chicken wings were marketed as a spicy dish but the spice was no where to be felt ,0,1,0,0,0
2251,also  the wings were glazed in two different sauces though they both tasted the same   sweet and heavy ,0,1,0,0,0
2252,  the red sauce of the pasta was diluted  it was done to such an extent that the sauce was not willing stay with the penne pasta ,0,1,0,0,0
2253,  the pizza was the first relief  though it wasn t as it as some of the other restaurants ,0,1,0,0,0
2254,it was thin and it retained its shape ,0,1,0,0,0
2255,  the tiramisu was a disaster ,0,1,0,0,0
2256,the cream was spoilt and the whole desert tasted sour ,0,1,0,0,0
2257,we had to send it back ,0,1,0,0,0
2258,finally  the service ,0,0,0,0,0
2259,the service was one of the very few worthwhile experience ,0,0,0,1,0
2260,all in all  i will not visit this restaurant again and a do not recommend it to anyone ,0,0,0,0,1
2261,very poor packing ,0,0,0,1,0
2262,waste,0,0,0,0,1
2263,went on a weekend afternoon with some friends and the place was completely empty ,0,0,0,0,0
2264,the service was good but the food was not ,0,1,0,1,0
2265,the pasta was completely bland and the pizza too stretchy ,0,1,0,0,0
2266,when we told them to add some spices they just reheated the same and brought it back ,0,0,0,1,0
2267,the ambience was okay  but not worth going just for that ,0,0,1,0,0
2268,not a good experience at all ,0,0,0,0,1
2269,currys quality not good ,0,1,0,0,0
2270,all currys are taste sweet ,0,1,0,0,0
2271,quantity also less ,0,1,0,0,0
2272,chilli chicken  it was not as expected ,0,1,0,0,0
2273,fully coated and not spicy   its just feedback   but not sharing any reviews  my friend suggested about this  i expected that it was not coated and spicy   but was quite opposite,0,1,0,0,0
2274,pathetic service ,0,0,0,1,0
2275,took an hour for the order to deliver even though there were only 2 tables occupied ,0,0,0,1,0
2276,no one has an answer for the delay ,0,0,0,1,0
2277,the entire eating experience is ruined ,0,0,0,0,1
2278,not visiting the place again,0,0,0,0,1
2279,cold pizza served,0,1,0,0,0
2280,ordered chocolate croissant for dessert but ut was horrible ,0,1,0,0,0
2281,a cold soggy croissant was delivered which was too low in quality for 200 bucks    over priced and over hyped restaurant  ,1,1,0,0,0
2282,i ve ordered chicken pizza squares  6pc  ,0,0,0,0,0
2283,i waited for almost 20 mins ,0,0,0,1,0
2284,they served 6pc of sandwich bread topped with some chicken ,0,0,0,0,0
2285,i thought that they ve served it by mistake ,0,0,0,0,0
2286,i asked the staff and they confirmed that the served thing is called  pizza  ,0,0,0,0,0
2287,i wish the name in the menu is changed to something else   or mentioning the recipe beside name could help in choosing the right food ,0,0,0,1,0
2288,i had huge expectations on food based on the review but taste was not up to the mark ,0,1,0,0,0
2289,and staff is not customer friendly ,0,0,0,1,0
2290,not recommended to anyone,0,0,0,0,1
2291,bad packaging ,0,0,0,1,0
2292,all the almond feasts had barely more than one almond each ,0,1,0,0,0
2293,i had heard a lot about their chain of bakeries and had tried there muffins before  all were good ,0,1,0,0,0
2294,so thought of trying their other bakes ,0,0,0,0,0
2295,so i ordered a grilled chicken sandwich through swiggy and upon receiving the order i found it was grilled chocolate sandwich  even bill was wrong ,0,0,0,1,0
2296,raised a complaint and got a replacement ,0,0,0,1,0
2297,this time i checked the bill which was correct but even then the item was wrong ,0,0,0,1,0
2298,they sent veg instead ,0,0,0,0,0
2299,the sandwiches were not bad 1 star extra for that  but i don t know how they can mess up like this ,0,1,0,1,0
2300,the service and quantity sucks ,0,1,0,1,0
2301,the service and quantity sucks ,0,1,0,1,0
2302,the service and quantity sucks ,0,1,0,1,0
2303,the service and quantity sucks ,0,1,0,1,0
2304,the service and quantity sucks ,0,1,0,1,0
2305,we went on a weekend to this place as we had been wanting to try out this new place in town for a while ,0,0,0,0,0
2306,starting of with the pros  the decor and ambiance of this place is really good ,0,0,1,0,0
2307,the menu is quite interesting too  and includes a variety of chicken  pork  beef and some fish dishes ,0,1,0,0,0
2308,there are a few vegetarian options  but i do not know to what extent it would satisfy a vegetarian ,0,1,0,0,0
2309,they have a good choice of mocktails as well  and each one was really good ,0,1,0,0,0
2310,the pork ribs and the mushrooms were good too ,0,1,0,0,0
2311,the staff there was good too ,0,0,0,1,0
2312,moving on to why i chose to give this a bad review  first of all  the service was really slow ,0,0,0,1,0
2313,took about an hour for my food to arrive ,0,0,0,1,0
2314,moreover  my chicken noodles tasted exactly like maggie with a few chicken pieces thrown in ,0,1,0,0,0
2315,i had attached a picture of it for reference ,0,0,0,0,0
2316,moreover the portion sizes are quite small in relation to the price of the dishes ,1,1,0,0,0
2317,a small bowl of beef curry was 200 and one plate of steamed rice was not even enough for two people ,0,1,0,0,0
2318,even though the taste was good  because of the portion sizes and the relative prices plus the service time our experience was ruined ,1,1,0,1,0
2319,hence the two stars ,0,0,0,0,0
2320,ordered a burger from this place and it is so disgusting to see a burger wrapped recklessly in an aluminium sheet deliver at my place ,0,0,0,1,0
2321,how can you wrap a burger in a sheet   ,0,0,0,1,0
2322,by the time i opened the pack  the burger got compressed  cheese leaked all over the sheet ,0,0,0,1,0
2323,the taste of the burger wasn t good too ,0,1,0,0,0
2324,the bun didn t seem fresh at all ,0,1,0,0,0
2325,i still don t understand how this place has a 4 4 rating ,0,0,0,0,1
2326,we took buffet and got only 3 non veg starters   fish prawns and chicken   each 1 type ,0,1,0,0,0
2327,food is average  as usual  nothing special ,0,1,0,0,0
2328,rs 783    699   5  gst   7  service charge  for this buffet is very too high ,1,0,0,0,0
2329,not worth ,0,0,0,0,1
2330,go for some barbeque restaurants for the same price and more options ,0,0,0,0,0
2331,ordered chilly paneer with fried rice ,0,0,0,0,0
2332,paneer quality was bad ,0,1,0,0,0
2333,too hard ,0,1,0,0,0
2334,i will say no to this menu ,0,1,0,0,0
2335,waste of money                         ,0,0,0,0,1
2336,food was not good and tasty enough while we got food all the pieces were meshed up ,0,1,0,0,0
2337,so please give the food tasty ,0,1,0,0,0
2338,being not able to give good food please try to refund the money,0,1,0,0,0
2339,it s been a very long desire to taste the pan asian food at zega  very beautiful place with a spectacular view from the outlet  well balanced ambience with nice live kitchen and interactive bar  coming to the service its seems very low manned for every order we have to stand up and request someone to attend for our request  taste of the food was just ok  need to relook into the clasic dishes  over all it was a very average dining experience at zega ,0,1,1,1,0
2340,prices are 5 star hotel s but food and hospitality is just as normal restaurant ambience is good i suggest them to increase the hospitality,1,1,1,1,0
2341,food was cold and seems like prepared few hours ago,0,1,0,0,0
2342,the food was very spicy ,0,1,0,0,0
2343,not as good as it used to be used to like pasta a lot but turned out to be a big downer this time with degraded quality ,0,1,0,0,0
2344,they definitely lost a repeat customer ,0,0,0,0,0
2345,my food had extra money for cheese and other thing but has not been delivered this is not good,0,1,0,0,0
2346,ambience is good but the food needs improvement in all the aspects ,0,1,1,0,0
2347,service was a bit slow too ,0,0,0,1,0
2348,this place is just overhyped and the food quality has to be improved ,0,1,0,0,0
2349,it is pricey and is definitely not value for money ,1,0,0,0,0
2350,one of my chauffeur in hyderabad recommended this place for authentic persian food ,0,0,0,0,0
2351,and i was disappointed ,0,0,0,0,1
2352,this place didn t live upto the fame and name ,0,0,0,0,0
2353,the meat wasnt well cooked ,0,1,0,0,0
2354,the taste was bland ,0,1,0,0,0
2355,the service was fast  however the quality of service was a disappointment ,0,0,0,1,0
2356,a cold finger bowl at the end made it worst ,0,1,0,0,0
2357,ambiance 0 5  service 2 5 5  staff 3 5 5  food 1 5  value for money 1 5 5 ,0,0,0,0,0
2358,did the cook change ,0,0,0,0,0
2359,food is not good   we all came here for team lunch in starter we only got 4 item but the taste of the starter is not good ,0,1,0,0,0
2360,so this place is not good for veg and non veg lover lovers ,0,1,0,0,0
2361,in sweets we have two ice cream flavours and rasgulla and kaddu ka kheer etc who will eat kaddu ka kheer,0,0,0,0,0
2362,in general my experience with the chocolate room was not up to the mark ,0,1,0,0,0
2363,i had oreo cookie shake and kitkat shake at two separate visits ,0,0,0,0,0
2364,both tasted bland and i couldnt quite get the crispyness of oreo and flavour of the kitkat ,0,1,0,0,0
2365,i hope they improve   ,0,0,0,0,0
2366,i would not recommend this place ,0,0,0,0,1
2367,i tried their steamed momos and kurkure ones too which were not upto the mark ,0,1,0,0,0
2368,they dont serve that spicy red chutney that was a bigger shock for me ,0,1,0,0,0
2369,couldn t resist posting this review ,0,0,0,0,0
2370,has been visiting this place since the time it opened   has been there multiple times ,0,0,0,0,0
2371,never before felt this urge of posting a review since the food always stood out and dominated the service ,0,0,0,0,0
2372,but nothing changed over the time in terms of service  rather it s turned worse over time ,0,1,0,0,0
2373,there can t be an excuse of quality of food in exchange of service ,0,1,0,1,0
2374,if food is the only yardstick  they fail to beat that as well ,0,1,0,0,0
2375,dishes are pretty authentic but equally monotonous in taste ,0,1,1,0,0
2376,as a customer  i would rather not visit to wait for two ordered dishes for an hour ,0,0,0,1,0
2377,worse food that can be had sooner is always better than slightly better food with infinitely worse service ,0,1,0,0,0
2378,food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude ,0,1,0,1,0
2379,over all rating 2 ,0,0,0,0,0
2380,after looking at all these good rdviews i thought the food would be great  but it was not  dominos pasta is far better than this i orderd salsa pasta cost 415 rs  not upto the mark  then ordered few more veg items nd they were not good   it does not justify the prices at all  i ate better pastas at my office restaurents at half the price  not happy with food quality ,1,1,0,0,0
2381,though ambience nd service was good   may b in veg they dont hve better quality food  ,0,1,1,1,0
2382,fries were very bad  i had to throw all of fries ,0,1,0,0,0
2383,food is not good as previous  ,0,1,0,0,0
2384,quantity reduced and price increased ,1,1,0,0,0
2385,price is 20  more than restaurant price ,1,0,0,0,0
2386,chicken doesn t tasted fresh  ,0,1,0,0,0
2387,bad,0,0,0,0,1
2388,good ambience good spread  buffet for dinner yesterday night highly dissapointed about the vegetarian curries which were rottened  2 out of three were rottened ,0,1,1,0,0
2389,the triple pudding in the deserts with rottened fruits was pathetic ,0,1,0,0,0
2390,overall vegetarian food for the buffet was ignored by the restaurant ,0,1,0,1,0
2391,pls do takecare  bananaleaf  don t dissapoint your customers ,0,0,0,1,0
2392,rated 4 1 on zomato ,0,0,0,0,0
2393,quite disappointed ,0,0,0,0,1
2394,friday night perhaps got the service lil delayed ,0,0,0,1,0
2395,music too loud  too many smokers and the pizza had huge cubes of onions ,0,1,1,0,0
2396,ordered paneer butter masala and naans the curry had lot of food color and oil which is ok but two naans weren t even equal to one naan in general   they were way too small,0,1,0,0,0
2397,i have been here and had it s momos ,0,0,0,0,0
2398,it was not that great ,0,0,0,0,1
2399,so i had ordered chicken steamed momos on zomato and was disheartened to find that the momos have degraded further in it s taste ,0,1,0,0,0
2400,the outer covering was dry and not well cooked ,0,1,0,0,0
2401,it tasted like it was not freshly made ,0,1,0,0,0
2402,the filling was not satisfying at all ,0,1,0,0,0
2403,moreover the salt was a bit over the top ,0,1,0,0,0
2404,the sauce served was excessively salty and tasted like tomato sauce mixed with chilli paste ,0,1,0,0,0
2405,not good at all ,0,0,0,0,1
2406,i had been in their shop quite e few times but this time it was really disappointing ,0,0,0,0,1
2407,there were mosquitoes in the restaurant ,0,0,1,0,0
2408,the food was ok but there was a hygiene concern ,0,1,1,0,0
2409,the pickled carrot was stale and had fungus ,0,1,0,0,0
2410,the waiter replaced it but this is not expected of such a high profile restaurant ,0,0,0,1,0
2411,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,1,1,1,1,0
2412,late an food is cold an bad ,0,1,0,0,0
2413,delivery boys shd carry change    ,0,0,0,1,0
2414,worse quality of food,0,1,0,0,0
2415,to the management   please be careful while packing ,0,0,0,1,0
2416,i ordered tandoori roti and got rumali roti instead ,0,0,0,1,0
2417,worst experience in sense of service ,0,0,0,1,0
2418,we came to this place group of 9 people ,0,0,0,0,0
2419,they were taking forever to take the orders ,0,0,0,1,0
2420,we received piece of hair in one of the starter ,0,0,0,1,0
2421,we had to seek the people to take our orders ,0,0,0,0,0
2422,quantity of all the starters was very less ,0,1,0,0,0
2423,every time we needed to ask them to serve ,0,0,0,1,0
2424,they were leaving the starters just like that on table ,0,0,0,1,0
2425,all the dishes were average or can rate them below than that as well ,0,1,0,0,0
2426,none of them was extraordinary ,0,1,0,0,0
2427,waiting for main course was more than 30 mins ,0,0,0,1,0
2428,offers are not good,0,1,0,0,0
2429,the rice was not at all tasting like biryani and it is very cold,0,1,0,0,0
2430,no cutlery  no seal on the box  poor packing ,0,0,0,1,0
2431,i ordered a chicken rumali shawarma just now from this place and added instructions in my order not to put that slimy  greasy  mayonnaise  some of these places are famous for ,0,0,0,0,0
2432,lo and behold   opening the food parcel was the item with the awful slimy  sickening mayo i had requested not to be added ,0,0,0,1,0
2433,and i might add   there was only meat and mayo   no vegetables such as included in shawarma ordered from better places  this was listed as  special shawarma   ,0,1,0,0,0
2434,went with team for lunch over there   first proper parking is not there    resto is quiet small with very limited options in veg and non veg     ambience  starters  veg non veg main course everything is just avg    everything is just dull and avg   i mean neither food is spicy or tasty    it just avg and dull   ,0,1,1,0,0
2435,ambience and location is nice ,0,0,1,0,0
2436,but nice to hangouts only in group and a girl is mandatory to be in group ,0,0,0,0,0
2437,else entry will be denied ,0,0,0,0,0
2438,thumbs down for stag ,0,0,0,0,0
2439,starters are good but main course is really horrible ,0,1,0,0,0
2440,very small portion of drinks specially when they see you are busy in chatting or talking ,0,1,0,1,0
2441,the staff is polite but you have to chase them multiple times for taking orders ,0,0,0,1,0
2442,you can have opt for this only when all other nearby places are full ,0,0,0,0,0
2443,the complete street is full of restaurants and can be given priority ,0,0,0,0,0
2444,you might see lot of positive feedbacks but most of them are done just to get a free ice cream ,0,0,0,0,0
2445,yes  they offer free ice cream if you write good reviews for them ,0,0,0,0,0
2446,luckily i don t like vanilla flavour so will write what i felt ,0,0,0,0,0
2447,it said thali but not adequate quantity,0,1,0,0,0
2448,milkshake is not good and it was not thick,0,1,0,0,0
2449,deli 9 staff didn t have the basic courtesy to inform that for 4 diners  it would be appropriate to unlock 2 golds ,0,0,0,1,0
2450,they gave only 1 dish feee whereas we had ordered total of 7 across 4 diners ,0,0,0,1,0
2451,had very high expectations from this place given the great reviews it has got ,0,0,0,0,0
2452,however  in my opinion it is just over hyped ,0,0,0,0,0
2453,not so great ,0,0,0,0,1
2454,if you have been to any theobroma outlet in mumbai  you will realize how this place is full of shit ,0,0,0,0,1
2455,the brownies are very average ,0,1,0,0,0
2456,tea loaf is worse ,0,1,0,0,0
2457,one word   underwhelming ,0,0,0,0,1
2458,plus  rude staff ,0,0,0,1,0
2459,i don t feel the taste of flavour that had ordered,0,1,0,0,0
2460,the overall rating present for this restaurant doesn t justice the experience  will come to this in a bit   so  a small almost cute little place tucked in first floor with ambient lightings turned on  to give romantic dinner table feel  and apt audible english chartbusters couldn t go any wrong with setup and restaurant proudly own this ,0,0,1,0,0
2461,with this as a beginning  shanghai chef takes the dinning experience to whole new diff level which is confusing at its best ,0,0,0,1,0
2462,waiters are surely not in the mood to offer appropriate tables to guests  not aware of all the food which is getting prepared in kitchen  not aware of all the  must try  dishes of their own menu   most of all courtesy seems to have been left at the mercy of the servers ,0,0,0,1,0
2463,like an example  since its not a fine dining we can t expect servers to serve your food left in the bowl again but same server at one table doing the same thing neglecting other tables left too much to be desired ,0,0,0,1,0
2464,this was the case  when a cockroach was found in one of the guests food and staff tried to avoid the scene blaming it to fate ,0,1,0,1,0
2465,on the food side  crispy corn was good but avoid maonchow soup ,0,1,0,0,0
2466,flat noodles also served just warm that too after enquiring multiple times also  service takes the beating even if just half tables are filled ,0,1,0,1,0
2467,so  coming back to first line ,0,0,0,0,0
2468,the rating is probably for food only  go at your own risk if your are looking for experience  ,0,1,0,0,0
2469,it was not crispy by the time it reached me ,0,1,0,0,0
2470,i also requested a green dipping chutney which was not delivered,0,0,0,1,0
2471,place looked good when entering but that was it  it went downhill from there ,0,0,1,0,0
2472,it took three people from their staff one after the other to confirm what we had ordered and it was only one dish ,0,0,0,1,0
2473,we had to wait for 25 30 minutes for the order only to realise they had served it to somebody else ,0,0,0,1,0
2474,this was when there were only 5 tables occupied ,0,0,0,0,0
2475,the staff seemed inexperienced ,0,0,0,1,0
2476,the toilet s location is just bad ,0,0,1,0,0
2477,whenever somebody opens the toilet door the whole place stinks up like piss ,0,0,1,0,0
2478,we just gave up on the place and left paying for the drinks that they had managed to serve ,0,0,0,0,0
2479,the owners and managers really need to look into the problems ,0,0,0,0,0
2480,no miyo was given,0,1,0,0,0
2481,service was too slow ,0,0,0,1,0
2482,waiters took some 20 minutes to realise we wanted to place an order ,0,0,0,1,0
2483,music was excessively loud  and reached a point where the speakers couldn t support the playback without distorting the music ,0,0,1,0,0
2484,however the quality of liit was brilliant ,0,1,0,0,0
2485,i didn t like food either,0,1,0,0,0
2486,went here on a thursday  the staff were really pathetic in service and no zomato gold etc were eligible ,0,0,0,1,0
2487,they could have responded in a proper way when asked why it s not valid ,0,0,0,1,0
2488, since it s ladies night ,0,0,0,0,0
2489,the service is very bad ,0,0,0,1,0
2490,they are not offering the seats when they have whole restaurant empty ,0,0,0,1,0
2491,the food is good but the manager and staffs are not that encouraging ,0,1,0,1,0
2492,average,0,0,0,0,1
2493,no cultnery with food soup was delivered in pouch  how a person is supposed to drink a soup from a pouch and soup taste was also little odd ,0,1,0,1,0
2494,was high on expectations after visiting khaan saab in gvk ,0,0,0,0,0
2495,i was disappointed with taste and quality of the food ,0,1,0,0,0
2496,the service was mediocre and it seems to no make justice to call itself a branch of khaan saab ,0,0,0,1,0
2497,even ambience seemed to be a cheap knockoff service was okay ,0,0,1,1,0
2498,bad customer service ,0,0,0,1,0
2499,first we booked table near screen still they didn t give and they make people stand near screen ,0,0,0,1,0
2500,how the hell should we watch the match ,0,0,0,0,1
2501,people go to see match and they do this ,0,0,0,0,0
2502,horrible biryani this is what we got when we ordered on swiggy ,0,1,0,0,0
2503,it looks like you just want to make money selling biryani and left over pieces,0,0,0,0,1
2504,i m a frequent customer here ,0,0,0,0,0
2505,just wanted to share this while i ordered a chicken maggie today  instead of chicken i received marinated fried maida balls majority of it  which looked like chicken ,0,1,0,0,0
